"Ticker_ID","Shares_to_Buy","Price","Target_Value"
24162,22883,8.74,2e+05
19956,2602,76.86,2e+05
15287,16949,11.8,2e+05
23057,31333,6.3829,2e+05
21705,23041,8.68,2e+05
20975,2300,86.92,2e+05
21563,3735,53.54,2e+05
19862,2755,72.59,2e+05
18098,13149,15.21,2e+05
88807,19493,10.26,2e+05
24100,781,255.8,2e+05
15489,19920,10.04,2e+05
15303,4970,40.24,2e+05
19849,11207,17.845,2e+05
19180,9354,21.38,2e+05
82779,24875,8.04,2e+05
19778,25380,7.88,2e+05
19488,6877,29.08,2e+05
20665,22075,9.06,2e+05
85419,8665,23.08,2e+05
21927,5865,34.1,2e+05
18785,18132,11.03,2e+05
91907,6561,30.48,2e+05
22268,6238,32.06,2e+05
20726,16299,12.27,2e+05
20325,11154,17.93,2e+05
19541,5306,37.69,2e+05
20137,39603,5.05,2e+05
19184,14357,13.93,2e+05
16736,1450,137.87,2e+05
22536,31007,6.45,2e+05
21342,4729,42.29,2e+05
21273,31948,6.26,2e+05
21542,28571,7,2e+05
50550,8264,24.2,2e+05
86211,690,289.62,2e+05
21077,28735,6.96,2e+05
19825,8488,23.56,2e+05
23054,10080,19.84,2e+05
91571,20920,9.56,2e+05
15631,15835,12.63,2e+05
90400,26420,7.57,2e+05
20420,16420,12.18,2e+05
74740,4805,41.62,2e+05
16145,28901,6.92,2e+05
20410,9315,21.47,2e+05
22232,23529,8.5,2e+05
33770,13166,15.19,2e+05
19249,33057,6.05,2e+05
23224,27548,7.26,2e+05
