location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,age,monthly,vw,-1,502,8,1926-03-31,-0.0988372474425825
usa,age,monthly,vw,-1,505,12,1926-04-30,-0.00630274082874501
usa,age,monthly,vw,-1,510,17,1926-05-31,-0.000190496131777186
usa,age,monthly,vw,-1,512,21,1926-06-30,-0.0083232749953407
usa,age,monthly,vw,-1,503,23,1926-07-31,-0.00421952584957093
usa,age,monthly,vw,-1,509,28,1926-08-31,-0.0139621251382319
usa,age,monthly,vw,-1,521,30,1926-09-30,0.00246866836981282
usa,age,monthly,vw,-1,518,29,1926-10-31,-0.00266302282672292
usa,age,monthly,vw,-1,523,34,1926-11-30,-0.023093887539294
usa,age,monthly,vw,-1,527,37,1926-12-31,0.0100364721641286
usa,age,monthly,vw,-1,530,40,1927-01-31,0.00141151712358179
usa,age,monthly,vw,-1,534,43,1927-02-28,-0.0070814926259002
usa,age,monthly,vw,-1,534,46,1927-03-31,-0.0112285393424555
usa,age,monthly,vw,-1,537,49,1927-04-30,-0.0285424370153331
usa,age,monthly,vw,-1,538,49,1927-05-31,-0.012112813325708
usa,age,monthly,vw,-1,545,56,1927-06-30,0.0216817048183407
usa,age,monthly,vw,-1,548,61,1927-07-31,-0.0263028367518432
usa,age,monthly,vw,-1,546,63,1927-08-31,-0.00842375344198985
usa,age,monthly,vw,-1,553,67,1927-09-30,-0.000798888211883689
usa,age,monthly,vw,-1,566,80,1927-10-31,0.00426875448572889
usa,age,monthly,vw,-1,571,83,1927-11-30,-0.0111500395536361
usa,age,monthly,vw,-1,571,86,1927-12-31,-0.0116349850720817
usa,age,monthly,vw,-1,577,93,1928-01-31,0.0114415659397768
usa,age,monthly,vw,-1,576,93,1928-02-29,0.00313434216414986
usa,age,monthly,vw,-1,576,92,1928-03-31,-0.0201306186603665
usa,age,monthly,vw,-1,574,91,1928-04-30,0.07000362838729
usa,age,monthly,vw,-1,577,93,1928-05-31,-0.00262222425374297
usa,age,monthly,vw,-1,577,95,1928-06-30,-0.0322093344108101
usa,age,monthly,vw,-1,578,99,1928-07-31,0.0134326294617683
usa,age,monthly,vw,-1,587,106,1928-08-31,-0.020822024246617
usa,age,monthly,vw,-1,590,110,1928-09-30,0.0237731502552353
usa,age,monthly,vw,-1,596,117,1928-10-31,-0.00755568621435709
usa,age,monthly,vw,-1,601,121,1928-11-30,-0.0225674830852265
usa,age,monthly,vw,-1,604,127,1928-12-31,0.0109934264778828
usa,age,monthly,vw,-1,610,137,1929-01-31,-0.0242366823313242
usa,age,monthly,vw,-1,613,141,1929-02-28,0.00128728843309149
usa,age,monthly,vw,-1,618,148,1929-03-31,-0.0101155932582881
usa,age,monthly,vw,-1,624,152,1929-04-30,0.00652159967214289
usa,age,monthly,vw,-1,639,165,1929-05-31,-0.00375423370728757
usa,age,monthly,vw,-1,650,180,1929-06-30,-0.0131560338614913
usa,age,monthly,vw,-1,654,184,1929-07-31,0.00408286490115106
usa,age,monthly,vw,-1,663,194,1929-08-31,-0.0493947415405969
usa,age,monthly,vw,-1,674,206,1929-09-30,-0.0022026650774314
usa,age,monthly,vw,-1,650,194,1929-10-31,-0.0503175913189153
usa,age,monthly,vw,-1,651,201,1929-11-30,-0.0197175397783375
usa,age,monthly,vw,-1,668,207,1929-12-31,-0.0167414310805106
usa,age,monthly,vw,-1,681,214,1930-01-31,0.0306498184264197
usa,age,monthly,vw,-1,683,218,1930-02-28,0.0049404083044133
usa,age,monthly,vw,-1,680,213,1930-03-31,0.0160702592390361
usa,age,monthly,vw,-1,689,220,1930-04-30,0.0338780002722007
usa,age,monthly,vw,-1,682,220,1930-05-31,-0.0289076373517262
usa,age,monthly,vw,-1,669,215,1930-06-30,-0.0469683745642923
usa,age,monthly,vw,-1,669,217,1930-07-31,-0.00938306752284584
usa,age,monthly,vw,-1,666,215,1930-08-31,-0.00903435180843147
usa,age,monthly,vw,-1,660,213,1930-09-30,-0.0289029249621177
usa,age,monthly,vw,-1,665,219,1930-10-31,-0.0245710644859809
usa,age,monthly,vw,-1,657,211,1930-11-30,-0.0194418446339867
usa,age,monthly,vw,-1,657,214,1930-12-31,-0.0219540561207432
usa,age,monthly,vw,-1,659,217,1931-01-31,0.0153204285915849
usa,age,monthly,vw,-1,669,226,1931-02-28,0.0383464518710301
usa,age,monthly,vw,-1,665,217,1931-03-31,0.00829081942008056
usa,age,monthly,vw,-1,664,222,1931-04-30,-0.020376257658406
usa,age,monthly,vw,-1,660,221,1931-05-31,-0.0000451870610927996
usa,age,monthly,vw,-1,663,221,1931-06-30,-0.0269659357313951
usa,age,monthly,vw,-1,662,220,1931-07-31,0.0157792245036893
usa,age,monthly,vw,-1,662,224,1931-08-31,0.0126911360242682
usa,age,monthly,vw,-1,647,217,1931-09-30,-0.0485294205659909
usa,age,monthly,vw,-1,658,224,1931-10-31,0.00769759809443218
usa,age,monthly,vw,-1,658,224,1931-11-30,0.0148848345123679
usa,age,monthly,vw,-1,651,220,1931-12-31,-0.0182957018444904
usa,age,monthly,vw,-1,653,222,1932-01-31,0.0115797617815271
usa,age,monthly,vw,-1,656,224,1932-02-29,0.00261060502566928
usa,age,monthly,vw,-1,656,223,1932-03-31,-0.00263415204659778
usa,age,monthly,vw,-1,656,228,1932-04-30,0.0538189151741396
usa,age,monthly,vw,-1,648,224,1932-05-31,-0.0357902102394014
usa,age,monthly,vw,-1,648,225,1932-06-30,0.00755070072223696
usa,age,monthly,vw,-1,649,224,1932-07-31,-0.0609759673526414
usa,age,monthly,vw,-1,659,228,1932-08-31,0.0531023741970995
usa,age,monthly,vw,-1,652,222,1932-09-30,-0.0167453099547112
usa,age,monthly,vw,-1,647,221,1932-10-31,-0.00510268475307296
usa,age,monthly,vw,-1,641,218,1932-11-30,0.0102022478405315
usa,age,monthly,vw,-1,639,217,1932-12-31,-0.00711021983230005
usa,age,monthly,vw,-1,647,224,1933-01-31,-0.0436787513275072
usa,age,monthly,vw,-1,643,219,1933-02-28,-0.0147960706891702
usa,age,monthly,vw,-1,638,218,1933-03-31,-0.0286401878712381
usa,age,monthly,vw,-1,634,216,1933-04-30,0.0550229692917956
usa,age,monthly,vw,-1,637,216,1933-05-31,0.0735039958708219
usa,age,monthly,vw,-1,634,214,1933-06-30,0.0177177955922167
usa,age,monthly,vw,-1,631,213,1933-07-31,-0.0399951288184117
usa,age,monthly,vw,-1,632,216,1933-08-31,-0.0292292194260948
usa,age,monthly,vw,-1,630,216,1933-09-30,-0.0498698952831921
usa,age,monthly,vw,-1,629,214,1933-10-31,0.0168241428921345
