location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,age,monthly,vw_cap,-1,502,8,1926-03-31,-0.0867375792154087
usa,age,monthly,vw_cap,-1,505,12,1926-04-30,-0.000572392199922341
usa,age,monthly,vw_cap,-1,510,17,1926-05-31,-0.0063315300851384
usa,age,monthly,vw_cap,-1,512,21,1926-06-30,-0.00301190781776605
usa,age,monthly,vw_cap,-1,503,23,1926-07-31,0.00321094955301656
usa,age,monthly,vw_cap,-1,509,28,1926-08-31,-0.0163778799368222
usa,age,monthly,vw_cap,-1,521,30,1926-09-30,0.00365286971848047
usa,age,monthly,vw_cap,-1,518,29,1926-10-31,-0.0159948788098593
usa,age,monthly,vw_cap,-1,523,34,1926-11-30,-0.0315014357692014
usa,age,monthly,vw_cap,-1,527,37,1926-12-31,0.00459930211282278
usa,age,monthly,vw_cap,-1,530,40,1927-01-31,0.0012232128879726
usa,age,monthly,vw_cap,-1,534,43,1927-02-28,-0.0108713951075491
usa,age,monthly,vw_cap,-1,534,46,1927-03-31,0.00782337372873888
usa,age,monthly,vw_cap,-1,537,49,1927-04-30,-0.0156060264950731
usa,age,monthly,vw_cap,-1,538,49,1927-05-31,-0.00915536052153017
usa,age,monthly,vw_cap,-1,545,56,1927-06-30,0.0212070679994358
usa,age,monthly,vw_cap,-1,548,61,1927-07-31,-0.0235384117396522
usa,age,monthly,vw_cap,-1,546,63,1927-08-31,0.00573918016110177
usa,age,monthly,vw_cap,-1,553,67,1927-09-30,0.0190425119984793
usa,age,monthly,vw_cap,-1,566,80,1927-10-31,0.00200810523854698
usa,age,monthly,vw_cap,-1,571,83,1927-11-30,-0.017210166924491
usa,age,monthly,vw_cap,-1,571,86,1927-12-31,-0.0119783820911075
usa,age,monthly,vw_cap,-1,577,93,1928-01-31,0.00382044404430703
usa,age,monthly,vw_cap,-1,576,93,1928-02-29,0.0060732543181846
usa,age,monthly,vw_cap,-1,576,92,1928-03-31,0.00828707510003444
usa,age,monthly,vw_cap,-1,574,91,1928-04-30,0.0423739329426205
usa,age,monthly,vw_cap,-1,577,93,1928-05-31,0.019347932882574
usa,age,monthly,vw_cap,-1,577,95,1928-06-30,-0.030492756236533
usa,age,monthly,vw_cap,-1,578,99,1928-07-31,0.0136129292763045
usa,age,monthly,vw_cap,-1,587,106,1928-08-31,-0.0218237652786279
usa,age,monthly,vw_cap,-1,590,110,1928-09-30,0.018831812771831
usa,age,monthly,vw_cap,-1,596,117,1928-10-31,0.00201086693644594
usa,age,monthly,vw_cap,-1,601,121,1928-11-30,-0.0211920220739723
usa,age,monthly,vw_cap,-1,604,127,1928-12-31,-0.00345782618917784
usa,age,monthly,vw_cap,-1,610,137,1929-01-31,-0.0118383781628438
usa,age,monthly,vw_cap,-1,613,141,1929-02-28,0.0000255213386599528
usa,age,monthly,vw_cap,-1,618,148,1929-03-31,-0.00901731256466147
usa,age,monthly,vw_cap,-1,624,152,1929-04-30,0.00774430040902749
usa,age,monthly,vw_cap,-1,639,165,1929-05-31,-0.0112972593302734
usa,age,monthly,vw_cap,-1,650,180,1929-06-30,-0.0172287302933786
usa,age,monthly,vw_cap,-1,654,184,1929-07-31,0.00384605018574769
usa,age,monthly,vw_cap,-1,663,194,1929-08-31,-0.0316964863217846
usa,age,monthly,vw_cap,-1,674,206,1929-09-30,-0.0103078948239645
usa,age,monthly,vw_cap,-1,650,194,1929-10-31,-0.0608596796340517
usa,age,monthly,vw_cap,-1,651,201,1929-11-30,-0.0292022765288323
usa,age,monthly,vw_cap,-1,668,207,1929-12-31,-0.0209136903607444
usa,age,monthly,vw_cap,-1,681,214,1930-01-31,0.0219051747446607
usa,age,monthly,vw_cap,-1,683,218,1930-02-28,0.00812974627271366
usa,age,monthly,vw_cap,-1,680,213,1930-03-31,0.0178851695445522
usa,age,monthly,vw_cap,-1,689,220,1930-04-30,0.0179472216484043
usa,age,monthly,vw_cap,-1,682,220,1930-05-31,-0.0197350980978558
usa,age,monthly,vw_cap,-1,669,215,1930-06-30,-0.0436488036024065
usa,age,monthly,vw_cap,-1,669,217,1930-07-31,-0.00454178140638693
usa,age,monthly,vw_cap,-1,666,215,1930-08-31,-0.0113162759058565
usa,age,monthly,vw_cap,-1,660,213,1930-09-30,-0.0163441957570101
usa,age,monthly,vw_cap,-1,665,219,1930-10-31,-0.0230461824512686
usa,age,monthly,vw_cap,-1,657,211,1930-11-30,-0.00976313792084348
usa,age,monthly,vw_cap,-1,657,214,1930-12-31,-0.0203661370121632
usa,age,monthly,vw_cap,-1,659,217,1931-01-31,-0.00123675982580602
usa,age,monthly,vw_cap,-1,669,226,1931-02-28,0.026838518666421
usa,age,monthly,vw_cap,-1,665,217,1931-03-31,0.0180328967760455
usa,age,monthly,vw_cap,-1,664,222,1931-04-30,0.00709134064289768
usa,age,monthly,vw_cap,-1,660,221,1931-05-31,0.0136432329839824
usa,age,monthly,vw_cap,-1,663,221,1931-06-30,-0.0577123404496846
