location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,gp_at,monthly,vw_cap,1,10,5,1950-11-30,-0.0791379171590934
usa,gp_at,monthly,vw_cap,1,13,6,1950-12-31,-0.0248294984189924
usa,gp_at,monthly,vw_cap,1,18,9,1951-01-31,0.0185731401463487
usa,gp_at,monthly,vw_cap,1,26,12,1951-02-28,-0.00466925189543025
usa,gp_at,monthly,vw_cap,1,36,17,1951-03-31,-0.00234760701274545
usa,gp_at,monthly,vw_cap,1,39,19,1951-04-30,0.00640878978452334
usa,gp_at,monthly,vw_cap,1,186,90,1951-05-31,-0.00272283882224091
usa,gp_at,monthly,vw_cap,1,194,93,1951-06-30,0.0155666414887375
usa,gp_at,monthly,vw_cap,1,199,96,1951-07-31,-0.0194084418984996
usa,gp_at,monthly,vw_cap,1,201,97,1951-08-31,-0.0252423177837671
usa,gp_at,monthly,vw_cap,1,204,99,1951-09-30,-0.0213253249549709
usa,gp_at,monthly,vw_cap,1,208,101,1951-10-31,-0.0105005924177759
usa,gp_at,monthly,vw_cap,1,207,100,1951-11-30,-0.00269865778970385
usa,gp_at,monthly,vw_cap,1,208,101,1951-12-31,0.0197825055290007
usa,gp_at,monthly,vw_cap,1,208,102,1952-01-31,-0.0150589591072194
usa,gp_at,monthly,vw_cap,1,208,101,1952-02-29,0.00985766818711373
usa,gp_at,monthly,vw_cap,1,209,102,1952-03-31,-0.00385189871177763
usa,gp_at,monthly,vw_cap,1,209,101,1952-04-30,0.0213289176458225
usa,gp_at,monthly,vw_cap,1,211,103,1952-05-31,0.00134886026693596
usa,gp_at,monthly,vw_cap,1,211,102,1952-06-30,-0.0103246547993025
usa,gp_at,monthly,vw_cap,1,209,101,1952-07-31,-0.00698336634781829
usa,gp_at,monthly,vw_cap,1,209,102,1952-08-31,0.00413783343826673
usa,gp_at,monthly,vw_cap,1,209,102,1952-09-30,0.0218076668435006
usa,gp_at,monthly,vw_cap,1,209,102,1952-10-31,0.0061482658689644
usa,gp_at,monthly,vw_cap,1,210,102,1952-11-30,0.00239487077454227
usa,gp_at,monthly,vw_cap,1,210,101,1952-12-31,-0.00258536818613249
usa,gp_at,monthly,vw_cap,1,210,101,1953-01-31,-0.0069623008096772
usa,gp_at,monthly,vw_cap,1,210,102,1953-02-28,0.00137517635436905
usa,gp_at,monthly,vw_cap,1,211,102,1953-03-31,0.0156856104693694
