location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,ni_me,monthly,vw_cap,1,15,7,1950-11-30,-0.0255829802645166
usa,ni_me,monthly,vw_cap,1,18,8,1950-12-31,0.0380726156855917
usa,ni_me,monthly,vw_cap,1,24,11,1951-01-31,0.0202960063234688
usa,ni_me,monthly,vw_cap,1,34,16,1951-02-28,0.0247304556365166
usa,ni_me,monthly,vw_cap,1,46,21,1951-03-31,-0.0219100282499863
usa,ni_me,monthly,vw_cap,1,50,24,1951-04-30,0.0318956939036245
usa,ni_me,monthly,vw_cap,1,235,117,1951-05-31,-0.00325718773345825
usa,ni_me,monthly,vw_cap,1,244,121,1951-06-30,-0.0356157537423749
usa,ni_me,monthly,vw_cap,1,249,123,1951-07-31,0.00931274661446431
usa,ni_me,monthly,vw_cap,1,254,126,1951-08-31,0.0191122922975005
usa,ni_me,monthly,vw_cap,1,261,129,1951-09-30,0.00645891472958131
usa,ni_me,monthly,vw_cap,1,263,131,1951-10-31,0.0222852177362449
usa,ni_me,monthly,vw_cap,1,263,130,1951-11-30,0.00212410660906529
usa,ni_me,monthly,vw_cap,1,265,130,1951-12-31,-0.022227491347679
usa,ni_me,monthly,vw_cap,1,265,128,1952-01-31,-0.00430030023514352
usa,ni_me,monthly,vw_cap,1,265,129,1952-02-29,0.0243676148412457
usa,ni_me,monthly,vw_cap,1,266,129,1952-03-31,0.0189330982960693
usa,ni_me,monthly,vw_cap,1,268,129,1952-04-30,-0.00925529422424334
usa,ni_me,monthly,vw_cap,1,306,146,1952-05-31,-0.00296519931693832
usa,ni_me,monthly,vw_cap,1,307,145,1952-06-30,0.0254035623562725
usa,ni_me,monthly,vw_cap,1,306,146,1952-07-31,0.0137261804604876
usa,ni_me,monthly,vw_cap,1,308,147,1952-08-31,-0.0122555870070979
usa,ni_me,monthly,vw_cap,1,306,146,1952-09-30,-0.0199343442769719
usa,ni_me,monthly,vw_cap,1,310,147,1952-10-31,-0.00164581092306983
usa,ni_me,monthly,vw_cap,1,309,146,1952-11-30,0.0204388603254848
usa,ni_me,monthly,vw_cap,1,309,146,1952-12-31,0.00370832889531818
usa,ni_me,monthly,vw_cap,1,310,147,1953-01-31,0.0172082017196969
usa,ni_me,monthly,vw_cap,1,310,146,1953-02-28,-0.00324948881418559
usa,ni_me,monthly,vw_cap,1,309,146,1953-03-31,-0.0252929970288829
usa,ni_me,monthly,vw_cap,1,312,147,1953-04-30,-0.00199131456475554
usa,ni_me,monthly,vw_cap,1,311,151,1953-05-31,0.00460613400308826
usa,ni_me,monthly,vw_cap,1,314,151,1953-06-30,-0.00790034322636231
usa,ni_me,monthly,vw_cap,1,314,151,1953-07-31,-0.0110524605831031
usa,ni_me,monthly,vw_cap,1,313,151,1953-08-31,-0.0398374810679568
usa,ni_me,monthly,vw_cap,1,309,147,1953-09-30,-0.0130821284920517
usa,ni_me,monthly,vw_cap,1,309,148,1953-10-31,0.0248314049481371
usa,ni_me,monthly,vw_cap,1,309,147,1953-11-30,-0.0100029509491115
usa,ni_me,monthly,vw_cap,1,310,147,1953-12-31,-0.0120039108999025
usa,ni_me,monthly,vw_cap,1,311,147,1954-01-31,0.044760858751545
usa,ni_me,monthly,vw_cap,1,312,148,1954-02-28,0.00672891365347577
usa,ni_me,monthly,vw_cap,1,309,148,1954-03-31,0.013367340158751
usa,ni_me,monthly,vw_cap,1,310,147,1954-04-30,-0.00307684387093979
usa,ni_me,monthly,vw_cap,1,316,147,1954-05-31,0.0258222122218302
usa,ni_me,monthly,vw_cap,1,316,149,1954-06-30,-0.00511480814096871
